text,mask
"Our firm is in need of a driven and passionate community leader to assist our fundraising team in increasing community outreach efforts and donor membership through local events. We have some immense goals for the rest of this year , which is why we need a Community Outreach Assistant to",O O O O O O O S_Soft_Skill O S_Soft_Skill O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"join our team. We aim to drive donor and community support for our partner to maintain their education and enforce relationships between the communities and create healthier , safer neighborhoods throughout the East Bay area. Attending in person events is how we are able to effectively get our clients message",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O S_location E_location O O O O O O O O O O O O O O O O
across our communities. Entry Level Community Outreach Specialist Responsibilities: Effectively convey our nonprofit partner 's mission to potential donors to increase funding Set up and attend local events regularly to spread our partner 's mission and build lasting relationships with community members Assist donors with registration and enable ongoing communication,O O O S_perks E_perks O O O O S_Soft_Skill E_Soft_Skill E_Soft_Skill E_Soft_Skill E_Soft_Skill E_Soft_Skill E_Soft_Skill O O O O S_Soft_Skill E_Soft_Skill E_Soft_Skill E_Soft_Skill O S_Hard_Skill E_Hard_Skill E_Hard_Skill E_Hard_Skill O S_Hard_Skill E_Hard_Skill E_Hard_Skill E_Hard_Skill E_Hard_Skill O S_Hard_Skill E_Hard_Skill E_Hard_Skill E_Hard_Skill E_Hard_Skill E_Hard_Skill S_Hard_Skill E_Hard_Skill E_Hard_Skill E_Hard_Skill O S_Hard_Skill E_Hard_Skill E_Hard_Skill
"and support , so they accept and accurately notate donations Receive ongoing training , coaching , and support by attending daily meetings , networking sessions , and one-on-one mentorship Entry Level Community Outreach Specialist Requirements: NO EXPERIENCE NECESSARY! Passion for philanthropy , charitable organizations , giving back to local communities",E_Hard_Skill E_Hard_Skill O O O O O O O O O O O O O O O O O O S_Hard_Skill E_Hard_Skill O O O O S_Hard_Skill E_Hard_Skill E_Hard_Skill O O O O O O S_Hard_Skill E_Hard_Skill E_Hard_Skill S_Soft_Skill E_Soft_Skill E_Soft_Skill O S_Soft_Skill O O O O O O O
", and most importantly , working with people! Exceptional interpersonal and communication skills , including a high level of emotional intelligence and empathy Positive , competitive , and coachable mindset Well-spoken , confident , articulate , and people-centric Strong public speaking skills Proven work ethic and self-motivated Candidates that can",O O O O O S_Soft_Skill E_Soft_Skill E_Soft_Skill S_Soft_Skill S_Soft_Skill O S_Soft_Skill E_Soft_Skill O O O S_Soft_Skill E_Soft_Skill E_Soft_Skill E_Soft_Skill E_Soft_Skill O S_Soft_Skill S_Soft_Skill O S_Soft_Skill O O S_Soft_Skill E_Soft_Skill S_Soft_Skill O S_Soft_Skill O S_Soft_Skill O O S_Soft_Skill S_Soft_Skill E_Soft_Skill E_Soft_Skill E_Soft_Skill O S_Soft_Skill E_Soft_Skill O S_Soft_Skill O O O
"Job Types: Full-time , Internship Pay: $40 ,000.00 - $55 ,000.00 per year Schedule: Monday to Friday Weekend availability Supplemental pay types: Commission pay Work Location: On the",O O S_perks O S_perks S_perks E_perks E_perks E_perks E_perks E_perks E_perks E_perks O O O O O O O O O S_perks O O O O O
"Overview: Join our team as an intern , part-time or full-time associate. An Associate typically is involved in the Build , Test , Deploy , and Support phases of a Team Project working under the supervision of the Team Leader (Vice President or Director) or his designee (Senior Manager or",O O O O O O S_Misc_Info O S_Misc_Info O S_Misc_Info O O O O O O O O S_Hard_Skill O E_Hard_Skill O E_Hard_Skill O O S_Hard_Skill E_Hard_Skill E_Hard_Skill E_Hard_Skill E_Hard_Skill E_Hard_Skill O O O O O O O O O O O O O O O O O O
"Manager). If you love to code and looking for an opportunity to learn , an opportunity to advance , an opportunity to be a part of something special then Rand Group is the place for you!  Compensation and Benefits: Objective and comprehensive bonus programs reward your contributions: Production Bonus",O O O S_Soft_Skill E_Soft_Skill E_Soft_Skill O O O O O O O O O O O O O O O O O O O O O O O S_Company_Name E_Company_Name O O O O O O O O O O O O O O O O S_perks E_perks
"Recruiting Referral Bonus New Business Referral Bonus Company paid major medical health benefits Company paid dental insurance , life insurance , long term disability , short term disability 401k Plan Work Life Balance: Travel no more than 35% 3 weeks PTO Annual Charity match to a non-profit of your choice",S_perks O E_perks S_perks E_perks E_perks E_perks O O O S_perks E_perks E_perks O O S_perks E_perks O S_perks E_perks O S_perks E_perks E_perks O S_perks E_perks E_perks S_perks E_perks O O O S_perks E_perks E_perks E_perks E_perks S_perks E_perks E_perks S_perks E_perks E_perks O O O O O O
Career Advancement: Performance evaluations twice a year 80 hours annual training Personal Development Plan that is updated annually for career progression Responsibilities: Document Customizations Create and Validate SQL Service Reports Assist in Development and Validation of Web Applications Develop Test Cases Configure Security Support Clients Qualifications: Progress toward completion of,O O O O O O O S_perks E_perks E_perks E_perks S_perks E_perks E_perks O O O O O O O O S_Hard_Skill E_Hard_Skill S_Hard_Skill E_Hard_Skill E_Hard_Skill E_Hard_Skill E_Hard_Skill E_Hard_Skill O O S_Hard_Skill E_Hard_Skill E_Hard_Skill E_Hard_Skill E_Hard_Skill E_Hard_Skill S_Hard_Skill O E_Hard_Skill S_Hard_Skill E_Hard_Skill S_Hard_Skill E_Hard_Skill O O O O O
"a Computer Science , Engineering , MIS , or related degree with technical skills Prefer GPA of 3.25 or higher Aptitude for becoming proficient in a variety of programming languages and tools Must have excellent verbal and written communication skills Highly motivated and eager to learn This position has the",O S_Hard_Skill E_Hard_Skill O S_Hard_Skill O S_Hard_Skill O O O E_Hard_Skill O O O O S_Hard_Skill E_Hard_Skill E_Hard_Skill E_Hard_Skill E_Hard_Skill O O O S_Hard_Skill O O E_Hard_Skill O E_Hard_Skill E_Hard_Skill E_Hard_Skill E_Hard_Skill O O S_Soft_Skill E_Soft_Skill E_Soft_Skill E_Soft_Skill E_Soft_Skill E_Soft_Skill S_Soft_Skill E_Soft_Skill O S_Soft_Skill E_Soft_Skill E_Soft_Skill O O O O
potential to lead to continued part-time employment for consecutive semesters and a potential opportunity for full-time placement upon graduation,O O O O S_perks E_perks E_perks O O O O O O O O S_perks E_perks E_perks E_perks
"SQL Developer (Training) Responsibilities Help write and optimize in-application SQL statements Ensure performance , security , and availability of databases Prepare documentations and specifications. Handle common database procedures such as upgrade , backup , recovery , migration , etc. Write TSQL scripts and objects such as stored procedures , user-defined",O O O O S_resp E_resp O E_resp E_resp E_resp E_resp S_resp E_resp O E_resp O O O O E_resp O O O O O S_Hard_Skill E_Hard_Skill O O O S_Hard_Skill O S_Hard_Skill O S_Hard_Skill O S_Hard_Skill O O S_Hard_Skill E_Hard_Skill E_Hard_Skill O E_Hard_Skill O O S_Hard_Skill E_Hard_Skill O E_Hard_Skill
"functions , views , indexes per business requirements. Create ETL SSIS packages to migrate data from OLTP sources to OLAP destinations through available tasks and transformations in SSIS Design and create user interactive reports in SSRS , Power BI and Tableau Profile server resource usage , and optimize and tweak",E_Hard_Skill O O O O O O O S_Hard_Skill E_Hard_Skill E_Hard_Skill E_Hard_Skill O O O O S_Hard_Skill O O S_Hard_Skill O O O O O O O S_Hard_Skill O O O O O O O S_Hard_Skill O S_Hard_Skill E_Hard_Skill O S_Hard_Skill S_Hard_Skill E_Hard_Skill E_Hard_Skill E_Hard_Skill O O O O O
"as necessary. Collaborate with other team members and stakeholders Qualifications BS or MS of degree in Computer Science , Information Technology , Engineering or related field is required 1 to 3 years of experience Skilled at optimizing large complicated SQL statements Capable of configuring popular database engines and orchestrating clusters",O O S_Soft_Skill O O E_Soft_Skill E_Soft_Skill O E_Soft_Skill O S_degree O S_degree O O O S_degree E_degree O S_degree E_degree O S_degree O O O O O S_Years_Experince E_Years_Experince E_Years_Experince E_Years_Experince E_Years_Experince E_Years_Experince S_Hard_Skill O E_Hard_Skill E_Hard_Skill E_Hard_Skill E_Hard_Skill E_Hard_Skill O O O O O O O O O
"as necessary Ability to plan resource requirements from high level specifications Good communication skills Job Types: Full-time , Contract , Internship Salary $60 ,000.00 - $70 ,000.00 per year Benefits: Dental insurance Health insurance Relocation assistance Vision insurance Schedule: 8 hour shift Work Location: Multiple Locations",O O O O S_Hard_Skill E_Hard_Skill E_Hard_Skill O E_Hard_Skill E_Hard_Skill E_Hard_Skill S_Soft_Skill E_Soft_Skill E_Soft_Skill O O S_Misc_Info O S_Misc_Info O S_Misc_Info S_perks O E_perks O O E_perks E_perks E_perks O S_perks E_perks S_perks E_perks S_perks E_perks S_perks E_perks O O O O O O O O
"Richmond , Virginia CarMax , the way your career should be! Analyst Rotation Program Our Analyst Rotation Program (ARP) provides experience in a variety of roles at CarMax giving ample opportunity for recent grads to develop skills in analytics , strategy , communication & influence. Business Analysts get firsthand experience",S_location O E_location S_Company_Name O O O O O O O S_Misc_Info E_Misc_Info E_Misc_Info O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"solving unique and complex problems and significantly contribute to company performance right from the start. ARP is a 2-year program , providing three 8-month rotations with teams across the CarMax analyst community Analysts in ARP start together as a cohort and share experiences through the duration of the program The",O O O O O O O O O O O O O O O O O O S_Misc_Info E_Misc_Info O E_Misc_Info E_Misc_Info E_Misc_Info E_Misc_Info O O O O O O O O O O O O O O O O O O O O O O O O O
"program seeks to maximize professional development and career growth providing diverse experiences , interactions with leaders across the org , formal training & teambuilding Analysts in ARP have input to roles they will take while in the program and upon graduation Business Analyst Business analysts are the analytical authorities at",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O S_Misc_Info E_Misc_Info O O O O O O O
"CarMax. Analyze This role enables you to apply your analytical skillset to CarMax 's proprietary , industry-leading data and unique business problems. You will help design and optimize strategies at the heart of our business & contribute significantly to our success as we continue to disrupt our industry. Collaborate &",O O O O O O O S_resp E_resp E_resp E_resp O O S_Company_Name O O O O O O O O O O O S_Soft_Skill O E_Soft_Skill E_Soft_Skill O O O O O O O O O O O O O O O O O O O O O
"Influence In ARP , you will work closely with leadership in operations , product , marketing , technology , and other business areas to influence what we do & how we do it. Business Analysts are critical team members in major company initiatives , developing insights that drive our decision",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
making. Learn & Grow Rotations enable analysts to learn from real-world experience with a variety of business problems - developing a broad understanding of our business and a diverse network along the way. Formal training ensures analysts have the tools to be successful & a strong understanding of our business.,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Throughout the program , analysts develop strong technical skills (e.g. coding , analytic methods & soft skills (communication & storytelling Contribute to our Diverse Community We are proud of our community of more than 200 full-time analysts & 20 analyst interns , from various backgrounds and experiences (including former CarMax",O O O O O O O O O O S_Hard_Skill O S_Hard_Skill E_Hard_Skill O O O S_Soft_Skill O S_Soft_Skill O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
interns!). Develop friendships & professional relationships that will enrich your experience at CarMax and contribute to your success going forward. What you need to succeed: Passion for problem-solving and desire to develop into a business leader Critical thinking skills and curious personality Strong organization skills with an ability to multitask,O O O O O O O O O O O O O O O O O O O O O O O O O S_Soft_Skill O S_Soft_Skill O O O S_Soft_Skill E_Soft_Skill O E_Soft_Skill E_Soft_Skill S_Soft_Skill E_Soft_Skill O O S_Soft_Skill E_Soft_Skill O S_Soft_Skill E_Soft_Skill O O O O S_Soft_Skill
